origin,destination,weight,shipment_type,day_of_week,delivery_days
Pune,Ahmedabad,63.257238038718334,Standard,4,3.7
Ahmedabad,Bangalore,51.0302759493046,Standard,1,3.8
Pune,Hyderabad,49.55882378747242,Standard,5,4.3
Hyderabad,Mumbai,6.0835542180075555,Air,5,1.2
Kolkata,Mumbai,124.2664160662445,Standard,3,4.3
Chennai,Bangalore,95.79577027398187,Air,4,2.6
Delhi,Chennai,119.3803361179212,Standard,3,4.3
Surat,Kolkata,12.590508509271052,Express,3,2.5
Kolkata,Mumbai,26.407500850591443,Standard,1,3.7
Jaipur,Ahmedabad,140.2247926022866,Express,4,3.5
Pune,Kolkata,91.95225156203566,Express,3,2.3
Hyderabad,Surat,51.611010174102034,Standard,6,3.3
Mumbai,Kolkata,26.71187534845611,Standard,1,2.5
Mumbai,Hyderabad,60.07645779240733,Express,4,2.6
Chennai,Delhi,39.50359668958624,Standard,2,4.5
Kolkata,Chennai,92.56974907629211,Ocean,1,6.2
Mumbai,Kolkata,86.53338959244391,Standard,3,4.4
Kolkata,Bangalore,123.15381314380457,Express,2,2.9
Delhi,Chennai,92.92895570851498,Standard,1,4.8
Surat,Delhi,39.473831971267515,Express,1,1.8
Kolkata,Delhi,94.52695559359266,Air,3,1.8
Chennai,Hyderabad,112.71690537030833,Air,0,1.6
Bangalore,Kolkata,56.11670382602109,Air,6,2.0
Jaipur,Bangalore,15.917018390971926,Ocean,5,6.8
Chennai,Surat,48.34741535407646,Air,0,1.1
Chennai,Bangalore,74.20733583688484,Standard,4,4.4
Bangalore,Surat,83.27860632569721,Standard,4,5.0
Kolkata,Ahmedabad,149.3917206835342,Standard,2,5.0
Pune,Delhi,145.31346562413316,Express,1,2.6
Pune,Jaipur,11.378069451446933,Air,1,1.0
Delhi,Hyderabad,77.24226221951274,Standard,4,5.3
Pune,Surat,88.98736645378202,Standard,3,3.0
Bangalore,Pune,105.91011246235065,Standard,2,3.7
Delhi,Kolkata,18.263278482076753,Standard,0,3.0
Pune,Mumbai,102.3153943509879,Standard,0,2.5
Ahmedabad,Mumbai,33.92757785865817,Ocean,3,3.9
Kolkata,Pune,138.7341778684276,Ocean,3,7.1
Delhi,Surat,32.91296143468044,Standard,0,3.3
Kolkata,Pune,87.85498963250349,Ocean,0,6.5
Ahmedabad,Kolkata,41.96848685567934,Standard,1,3.6
Ahmedabad,Delhi,40.25771978215372,Standard,3,2.4
Chennai,Bangalore,123.46931781701376,Ocean,4,5.8
Jaipur,Delhi,12.870888795278267,Air,2,1.3
Mumbai,Hyderabad,112.56195584642278,Standard,2,3.4
Mumbai,Delhi,70.56962738934806,Express,0,2.5
Kolkata,Pune,137.0182799625176,Express,4,4.9
Kolkata,Bangalore,37.47854121060805,Express,5,3.0
Chennai,Mumbai,100.91925231867557,Express,3,2.2
Ahmedabad,Pune,100.90019274112355,Express,5,3.1
Mumbai,Pune,145.21207793325354,Standard,2,3.8
Jaipur,Mumbai,20.53527665337079,Standard,6,3.4
Bangalore,Ahmedabad,20.88753560022208,Standard,5,4.9
Delhi,Bangalore,95.67832608253124,Express,2,2.8
Hyderabad,Mumbai,117.65612540480089,Standard,6,3.9
Surat,Bangalore,104.79745978827277,Air,1,1.7
Chennai,Jaipur,7.3562593274926265,Express,1,2.4
Bangalore,Surat,69.28781426804402,Express,2,2.4
Ahmedabad,Chennai,52.17725885691755,Air,2,1.0
Delhi,Chennai,6.60985813183859,Standard,3,3.6
Hyderabad,Mumbai,80.3963138080122,Standard,5,4.3
Delhi,Mumbai,75.7608819928011,Express,0,2.4
Hyderabad,Jaipur,131.1000043039632,Ocean,4,6.7
Mumbai,Kolkata,121.02709132906267,Air,4,2.9
Ahmedabad,Hyderabad,35.79942170105195,Air,5,2.2
Ahmedabad,Delhi,112.2469052509966,Standard,2,4.0
Delhi,Pune,80.12628133502596,Standard,0,3.9
Pune,Kolkata,27.75143983215573,Express,0,2.0
Jaipur,Mumbai,51.767566209599906,Express,1,1.7
Bangalore,Surat,75.01710873989407,Standard,6,3.8
Ahmedabad,Mumbai,84.88655210713488,Standard,4,4.9
Hyderabad,Chennai,97.06462757907438,Express,2,2.3
Mumbai,Hyderabad,15.716479656750359,Standard,6,2.9
Chennai,Jaipur,134.56643098165057,Standard,2,4.9
Hyderabad,Pune,39.056472643218505,Standard,2,3.0
Jaipur,Delhi,83.7360525055825,Express,2,1.8
Surat,Hyderabad,106.78739558609387,Standard,3,3.9
Mumbai,Delhi,91.78769634502407,Standard,4,5.2
Bangalore,Mumbai,55.69995698572947,Express,4,3.1
Pune,Delhi,48.69189982372109,Air,0,1.2
Hyderabad,Ahmedabad,119.24627276998613,Standard,4,4.5
Delhi,Hyderabad,109.76468754294481,Ocean,3,6.5
Hyderabad,Jaipur,124.27716263303505,Air,3,1.7
Bangalore,Hyderabad,28.36754552482754,Standard,5,3.0
Surat,Jaipur,102.6058184808613,Express,5,3.5
Bangalore,Pune,81.19726875623763,Express,0,2.4
Pune,Delhi,81.76115273654129,Ocean,2,5.7
Pune,Bangalore,65.01345739889817,Standard,2,3.0
Mumbai,Kolkata,111.3484062152873,Express,4,3.8
Hyderabad,Surat,47.10244913543446,Standard,6,3.0
Delhi,Hyderabad,131.57646269588153,Standard,5,5.1
Chennai,Jaipur,90.79170187484061,Express,4,2.7
Delhi,Chennai,104.24529244783146,Express,2,2.8
Kolkata,Chennai,27.648858661813136,Ocean,5,6.5
Surat,Ahmedabad,76.13035749322766,Express,6,1.3
Ahmedabad,Chennai,137.8532030779816,Air,4,2.6
Surat,Jaipur,63.90753535970671,Air,0,1.5
Hyderabad,Ahmedabad,18.860211885937204,Standard,1,4.1
Kolkata,Surat,111.76532295057169,Standard,0,4.6
Kolkata,Surat,17.582961358325317,Express,1,2.1
Delhi,Bangalore,137.80898137842553,Express,2,3.5
Bangalore,Pune,26.869854482680385,Express,5,2.5
Surat,Delhi,99.69883711649824,Standard,3,4.1
Jaipur,Mumbai,83.81715264906217,Air,6,1.5
Mumbai,Ahmedabad,64.30494134784404,Air,5,2.3
Mumbai,Jaipur,88.32431383299411,Standard,2,4.2
Mumbai,Bangalore,74.80328634877672,Air,3,1.0
Mumbai,Jaipur,129.33695034152083,Ocean,1,6.1
Mumbai,Ahmedabad,146.85024962458618,Air,6,1.4
Ahmedabad,Mumbai,82.9825279912713,Standard,6,3.3
Bangalore,Chennai,98.08554312385527,Standard,1,3.2
Bangalore,Jaipur,108.47890631242105,Air,2,1.6
Pune,Delhi,2.4437875648550373,Standard,6,2.8
Kolkata,Bangalore,18.855145004574922,Air,4,2.4
Kolkata,Chennai,50.71194564390034,Air,2,1.2
Pune,Ahmedabad,40.57551430302,Express,5,2.5
Kolkata,Bangalore,142.2937693908424,Air,0,2.5
Surat,Ahmedabad,147.81241318013934,Express,0,3.4
Jaipur,Ahmedabad,104.97745504755521,Express,0,1.2
Hyderabad,Pune,125.32207040149522,Ocean,1,5.2
Kolkata,Pune,137.1876715807946,Standard,3,4.9
Jaipur,Hyderabad,10.542722287398657,Express,5,2.7
Surat,Hyderabad,20.96440169528669,Ocean,5,5.8
Ahmedabad,Delhi,90.27727063483118,Express,6,2.8
Kolkata,Delhi,25.359363629033872,Air,2,1.2
Kolkata,Chennai,115.76239586755403,Standard,2,3.9
Mumbai,Ahmedabad,91.75549771768966,Ocean,6,4.1
Ahmedabad,Hyderabad,20.682690974470436,Express,1,1.6
Delhi,Surat,115.75137446000038,Standard,0,4.0
Ahmedabad,Mumbai,62.21263581570946,Air,1,1.0
Delhi,Hyderabad,0.8497388985538498,Ocean,5,6.3
Delhi,Chennai,47.53218524300693,Air,0,1.0
Ahmedabad,Bangalore,109.9676205182294,Air,6,1.6
Kolkata,Pune,95.76612117852828,Ocean,1,6.0
Surat,Jaipur,141.63687128314868,Standard,1,3.9
Pune,Mumbai,27.496014096536364,Express,1,1.2
Pune,Surat,29.293554653951748,Standard,2,2.6
Pune,Delhi,111.88714994397294,Standard,2,4.5
Mumbai,Jaipur,34.88632117451161,Standard,1,3.0
Bangalore,Hyderabad,79.77463732891758,Express,6,2.0
Mumbai,Kolkata,118.71311314342505,Standard,1,4.4
Mumbai,Bangalore,4.147916842702434,Air,5,2.1
Pune,Chennai,8.376233478595674,Standard,5,4.0
Kolkata,Surat,87.32320248048549,Standard,0,4.1
Pune,Chennai,110.76855408753927,Standard,2,4.4
Ahmedabad,Delhi,44.79806400817052,Standard,0,3.4
Jaipur,Mumbai,59.04870601078323,Standard,2,3.3
Surat,Kolkata,118.05857965512503,Standard,5,5.8
Delhi,Surat,111.63124702259681,Standard,3,4.0
Hyderabad,Kolkata,124.68105640371837,Standard,2,4.0
Mumbai,Chennai,124.0177515211979,Air,5,2.6
Pune,Mumbai,77.97992481812064,Express,0,1.7
Delhi,Bangalore,104.55508239904194,Standard,2,4.0
Hyderabad,Jaipur,112.30680481178817,Standard,3,3.7
Jaipur,Ahmedabad,40.20720636701156,Standard,0,3.0
Bangalore,Surat,127.90293323537766,Standard,6,4.4
Delhi,Jaipur,38.27103954715232,Standard,2,3.5
Kolkata,Delhi,12.616409278193366,Standard,4,4.8
Bangalore,Jaipur,99.48574551093141,Express,4,3.8
Mumbai,Pune,78.42841667097203,Air,3,1.7
Jaipur,Kolkata,102.18104537816491,Express,5,3.9
Pune,Kolkata,132.1901785002398,Air,2,1.7
Pune,Delhi,122.7860701057998,Air,4,3.1
Pune,Delhi,43.412200909649464,Express,0,1.8
Delhi,Jaipur,122.89257336472635,Standard,2,3.4
Pune,Surat,144.4673045769197,Standard,3,3.8
Hyderabad,Chennai,26.476144558481234,Air,3,1.0
Mumbai,Pune,106.43151468809309,Express,5,2.9
Delhi,Kolkata,97.31225968858519,Express,3,2.7
Pune,Mumbai,48.87972776285642,Express,2,1.6
Chennai,Mumbai,15.777946144210988,Air,6,1.0
Pune,Chennai,126.07210111853455,Air,3,1.3
Mumbai,Jaipur,65.13405275586899,Ocean,4,6.6
Chennai,Pune,114.13406472649552,Express,2,2.9
Delhi,Chennai,5.154545391234448,Express,3,2.1
Delhi,Jaipur,24.30723787275004,Standard,4,3.9
Delhi,Kolkata,3.1703529255087464,Air,3,1.2
Kolkata,Jaipur,138.1667532484452,Express,5,4.7
Chennai,Kolkata,83.98269455118809,Standard,3,4.6
Hyderabad,Pune,49.225856860835194,Express,2,2.6
Delhi,Pune,44.10355551704083,Express,0,2.0
Hyderabad,Surat,6.423014389579393,Express,0,1.6
Hyderabad,Chennai,52.22947686290352,Air,1,1.0
Mumbai,Bangalore,80.36920979347855,Air,5,2.0
Pune,Delhi,123.30538883747504,Standard,3,4.1
Mumbai,Jaipur,95.64632230677368,Air,5,3.3
Jaipur,Delhi,140.31267138726923,Ocean,3,5.3
Chennai,Ahmedabad,99.29260768573798,Express,5,3.6
Bangalore,Surat,25.017922407929838,Express,1,2.5
Hyderabad,Ahmedabad,97.71898078808135,Express,2,2.0
Pune,Kolkata,98.97681243738099,Express,1,2.6
Hyderabad,Delhi,98.16282137598085,Standard,0,3.7
Bangalore,Chennai,33.47388817588733,Express,6,1.6
Mumbai,Ahmedabad,69.6621320325278,Air,6,1.8
Kolkata,Chennai,110.43486965053002,Air,3,1.6
Ahmedabad,Delhi,130.12120867030606,Express,3,2.6
Chennai,Delhi,89.85967300575172,Air,6,1.5
Surat,Bangalore,89.05637412470766,Ocean,3,5.4
Kolkata,Mumbai,20.16936892652534,Air,5,1.1
Pune,Delhi,27.55605443006872,Air,4,1.7
Ahmedabad,Pune,54.20538872526497,Express,5,2.8
Mumbai,Surat,145.42714218912548,Standard,4,4.6
Ahmedabad,Chennai,145.48824623924244,Express,2,3.0
Surat,Bangalore,66.5826438805372,Standard,4,5.0
Mumbai,Hyderabad,37.68278375185067,Express,0,1.6
Jaipur,Hyderabad,25.55907283510349,Standard,4,4.5
Mumbai,Delhi,105.95514631977444,Express,6,1.8
Hyderabad,Chennai,40.827566921789945,Standard,6,2.5
Kolkata,Hyderabad,13.739059841374587,Standard,2,3.5
Surat,Chennai,148.0012033823476,Ocean,2,6.4
Ahmedabad,Delhi,51.726696474076846,Express,6,2.2
Chennai,Delhi,30.67709109238078,Express,1,2.6
Hyderabad,Kolkata,144.52035150664966,Standard,0,4.0
Pune,Ahmedabad,141.71982581136646,Express,1,2.9
Ahmedabad,Mumbai,5.04286542467711,Ocean,5,4.8
Chennai,Mumbai,90.2911266106623,Ocean,5,7.3
Surat,Delhi,149.91235200271464,Standard,0,3.7
Mumbai,Surat,149.00387213511496,Air,4,3.6
Chennai,Delhi,60.918978086829426,Standard,5,5.3
Bangalore,Pune,135.25565961347243,Air,6,2.4
Ahmedabad,Hyderabad,97.53666148976177,Standard,0,3.6
Surat,Pune,84.73411963859459,Standard,4,3.5
Mumbai,Chennai,34.47680927584115,Standard,2,3.2
Ahmedabad,Delhi,69.79235954818557,Standard,1,2.8
Chennai,Ahmedabad,122.04136793805597,Air,2,1.9
Kolkata,Ahmedabad,64.91388268493598,Air,4,2.3
Bangalore,Kolkata,140.1981860074244,Standard,1,4.8
Chennai,Hyderabad,43.08849884330746,Standard,6,4.0
Surat,Chennai,107.78654999334012,Standard,4,5.5
Chennai,Surat,78.61091555715969,Standard,3,3.9
Pune,Jaipur,119.11438509310167,Standard,3,3.4
Chennai,Kolkata,13.512324906854968,Air,3,1.0
Pune,Hyderabad,122.96873448430513,Air,0,1.6
Surat,Jaipur,97.16758405671759,Standard,0,3.1
Kolkata,Chennai,41.58350231444635,Air,3,1.0
Pune,Surat,14.782529418282893,Express,0,1.0
Mumbai,Chennai,130.45431388533237,Express,4,3.7
Mumbai,Pune,4.033968613927291,Express,3,1.5
Jaipur,Surat,74.76664539944582,Ocean,2,4.5
Pune,Kolkata,101.53826614056271,Express,4,4.2
Pune,Jaipur,19.69494627339172,Standard,1,3.6
Hyderabad,Ahmedabad,116.00709775368269,Standard,4,4.4
Jaipur,Pune,10.878864490540959,Express,1,1.5
Kolkata,Hyderabad,41.03654175677763,Express,2,1.3
Bangalore,Pune,100.58829980212943,Ocean,1,5.4
Hyderabad,Mumbai,149.32433336028643,Express,3,2.8
Chennai,Hyderabad,26.707789882470117,Express,0,1.4
Pune,Surat,123.36006336321248,Standard,3,3.4
Pune,Bangalore,23.286193992897406,Ocean,3,4.8
Mumbai,Surat,100.89798732014907,Standard,5,4.3
Mumbai,Hyderabad,123.99711072275299,Air,1,1.6
Chennai,Mumbai,34.48991636436677,Standard,0,2.6
Chennai,Ahmedabad,141.38685935578386,Air,5,3.2
Bangalore,Pune,74.79604069442162,Ocean,4,6.0
Mumbai,Pune,122.70873141943314,Standard,1,2.3
Hyderabad,Bangalore,118.60955022790567,Standard,0,3.4
Chennai,Delhi,96.32532556312714,Air,0,1.5
Hyderabad,Mumbai,138.45219998175244,Express,5,3.7
Hyderabad,Surat,100.11287943233843,Standard,4,4.6
Delhi,Kolkata,20.707360228646003,Ocean,3,5.4
Chennai,Delhi,42.02401725051454,Air,4,2.4
Delhi,Ahmedabad,23.22771554273289,Standard,2,2.8
Delhi,Jaipur,44.95457971140741,Express,0,1.4
Bangalore,Hyderabad,18.64704844365312,Standard,2,3.0
Mumbai,Kolkata,95.16184908901288,Standard,4,5.0
Pune,Chennai,26.47601305151303,Express,5,2.5
Chennai,Bangalore,55.4800229561548,Express,5,2.7
Pune,Kolkata,58.36827467017681,Ocean,6,6.1
Hyderabad,Pune,39.342074707382615,Air,1,1.0
Ahmedabad,Pune,93.03275485465437,Standard,1,3.0
Kolkata,Chennai,40.26988206180442,Standard,5,4.6
Chennai,Delhi,49.03905107006397,Air,2,1.0
Hyderabad,Kolkata,143.45521750201777,Standard,0,3.7
Ahmedabad,Surat,141.45325564128262,Air,4,3.0
Ahmedabad,Kolkata,123.85726329134121,Express,2,3.0
Hyderabad,Jaipur,34.43122180762194,Air,6,1.0
Mumbai,Ahmedabad,102.19405299164882,Standard,0,3.4
Pune,Mumbai,11.276608231801669,Standard,0,1.9
Chennai,Bangalore,99.37490635502695,Standard,2,2.8
Surat,Kolkata,82.66759853597921,Air,1,1.8
Delhi,Bangalore,2.0589410599117586,Standard,3,4.2
Jaipur,Surat,143.99406445235138,Express,6,3.3
Delhi,Mumbai,139.24850422874442,Standard,0,5.0
Ahmedabad,Surat,24.970728319062573,Standard,3,2.5
Mumbai,Jaipur,148.8661023731758,Express,5,3.8
Pune,Ahmedabad,127.05389363419657,Ocean,1,4.6
Ahmedabad,Jaipur,83.89307721390496,Standard,2,3.6
Hyderabad,Pune,147.708126058914,Ocean,4,6.0
Kolkata,Chennai,122.7589068136133,Standard,2,4.4
Pune,Jaipur,51.6863535870152,Express,4,3.2
Hyderabad,Bangalore,23.159621052357203,Standard,3,3.8
Jaipur,Kolkata,24.430709425708663,Express,0,2.3
Chennai,Jaipur,29.496103156532342,Air,1,1.3
Jaipur,Kolkata,110.09415875643639,Express,2,2.4
Jaipur,Chennai,78.86179602356125,Air,1,2.1
Hyderabad,Mumbai,2.1492263322386362,Air,4,1.2
Bangalore,Ahmedabad,70.81269858821696,Express,1,2.0
Chennai,Kolkata,108.44960526130919,Air,2,1.9
Hyderabad,Jaipur,27.16670135394581,Standard,5,4.0
Chennai,Surat,58.457202415183936,Express,6,3.2
Ahmedabad,Kolkata,87.20757622050563,Express,3,2.6
Ahmedabad,Jaipur,101.63195661534115,Air,6,1.2
Ahmedabad,Hyderabad,31.87137823103321,Air,2,1.2
Chennai,Ahmedabad,110.45808816988688,Standard,6,4.4
Jaipur,Hyderabad,96.56349733051114,Express,3,2.0
Chennai,Pune,148.6734015572849,Air,6,2.8
Jaipur,Chennai,54.654198527017115,Standard,4,5.6
Mumbai,Pune,41.32408609093545,Express,4,2.4
Kolkata,Hyderabad,72.39544711258391,Express,4,3.6
Chennai,Pune,94.8600115705276,Standard,6,2.6
Jaipur,Chennai,114.94417839917091,Standard,3,4.4
Jaipur,Chennai,98.71479586193736,Ocean,5,8.0
Surat,Hyderabad,64.61858838972528,Air,5,2.0
Jaipur,Chennai,5.525233227400753,Standard,1,2.8
Delhi,Mumbai,115.89273006415239,Standard,6,4.4
Delhi,Jaipur,82.47392726710042,Standard,6,3.5
Ahmedabad,Surat,74.4249291286164,Ocean,4,5.0
Bangalore,Ahmedabad,30.11559609758115,Express,2,2.2
Jaipur,Surat,3.794256464476876,Air,6,1.0
Surat,Jaipur,127.66710064725011,Express,0,3.0
Pune,Hyderabad,82.55137917964878,Express,5,2.2
Hyderabad,Delhi,72.96209492594203,Standard,1,3.4
Surat,Delhi,129.36704280643872,Express,6,3.0
Hyderabad,Jaipur,118.15203517019111,Standard,2,3.8
Mumbai,Ahmedabad,130.88428715336025,Express,3,2.5
Chennai,Pune,3.1828789459895286,Standard,6,2.9
Surat,Mumbai,4.561529473221193,Standard,5,2.8
Bangalore,Jaipur,42.7234193536335,Standard,2,4.0
Jaipur,Delhi,14.464491810306692,Express,2,1.1
Ahmedabad,Jaipur,43.42712473364404,Air,3,1.0
Jaipur,Ahmedabad,78.26848322610739,Express,5,2.7
Delhi,Ahmedabad,92.21423422655685,Standard,2,3.5
Ahmedabad,Kolkata,110.0289675877745,Air,4,2.6
Chennai,Pune,145.17950362695663,Air,0,2.0
Mumbai,Ahmedabad,18.803867804661685,Air,1,1.5
Chennai,Pune,146.977477449251,Express,2,2.6
Chennai,Surat,123.53228771011217,Standard,5,5.3
Kolkata,Bangalore,28.51808564258854,Air,3,1.2
Jaipur,Kolkata,38.52113618615835,Air,3,1.5
Surat,Kolkata,17.385009657470448,Standard,0,3.5
Jaipur,Bangalore,67.82747134635919,Air,0,1.3
Pune,Hyderabad,110.84133393910831,Air,5,2.7
Chennai,Delhi,49.103050307039,Express,3,2.6
Pune,Hyderabad,128.43272020641507,Standard,6,4.0
Chennai,Surat,32.72171538430411,Standard,4,3.9
Bangalore,Surat,45.93998698548821,Express,5,3.0
Jaipur,Bangalore,9.334536566698864,Air,2,1.1
Mumbai,Pune,100.7744806299222,Express,2,1.4
Chennai,Hyderabad,82.22390891807437,Standard,5,3.7
Chennai,Mumbai,6.782688938125091,Air,1,1.1
Chennai,Ahmedabad,93.39100233940268,Express,3,3.0
Pune,Surat,42.58741916303203,Air,5,1.9
Chennai,Jaipur,39.86570967110341,Standard,0,3.7
Ahmedabad,Chennai,45.539156483620054,Express,2,2.6
Jaipur,Chennai,10.141445051750546,Air,1,1.0
Jaipur,Hyderabad,133.899223471878,Standard,6,4.7
Bangalore,Delhi,86.2157271724651,Express,3,2.8
Kolkata,Bangalore,73.51200703294934,Air,0,1.6
Mumbai,Bangalore,131.90734559219896,Express,4,4.0
Pune,Jaipur,47.88351487477233,Express,6,1.9
Chennai,Pune,91.25989201845373,Express,3,2.1
Jaipur,Bangalore,35.996303522033536,Express,3,2.6
Bangalore,Pune,39.77000856849843,Standard,2,2.9
Pune,Surat,76.18677589453281,Express,5,3.0
Ahmedabad,Bangalore,41.88373901480021,Ocean,4,6.4
Mumbai,Chennai,29.816608054389743,Express,4,4.0
Hyderabad,Mumbai,1.6457728810591865,Standard,2,2.4
Chennai,Mumbai,51.159667076143364,Air,0,1.0
Hyderabad,Surat,59.85374866496016,Standard,0,2.7
Mumbai,Jaipur,79.97411995836241,Air,6,1.4
Bangalore,Mumbai,58.78591676476084,Air,4,2.7
Kolkata,Mumbai,123.65666244108355,Ocean,1,7.2
Pune,Ahmedabad,6.563531262929873,Air,1,1.0
Delhi,Kolkata,57.88391301522443,Express,1,2.4
Ahmedabad,Chennai,135.09802957710357,Express,2,2.7
Jaipur,Pune,62.194961249467795,Express,1,2.7
Surat,Delhi,21.261263296279292,Standard,6,2.5
Bangalore,Kolkata,95.86262535321328,Air,4,2.7
Ahmedabad,Delhi,2.2501383042701577,Express,2,1.3
Mumbai,Ahmedabad,86.79138306681534,Standard,4,4.0
Jaipur,Pune,122.60011878250242,Standard,4,5.2
Hyderabad,Delhi,60.8827306934335,Standard,0,4.1
Delhi,Chennai,67.79344249669886,Express,0,2.4
Pune,Jaipur,133.50297893612617,Standard,2,4.7
Mumbai,Jaipur,56.49565660950814,Standard,4,4.7
Pune,Chennai,7.194378350447899,Air,6,1.4
Mumbai,Delhi,101.7295356403839,Express,1,3.2
Chennai,Jaipur,148.21137694026098,Express,3,2.8
Surat,Hyderabad,138.8827808387877,Express,2,2.7
Delhi,Pune,113.55393528555143,Express,5,3.7
Kolkata,Hyderabad,71.36396105823181,Express,1,2.4
Jaipur,Mumbai,13.686154716585667,Express,5,2.2
Hyderabad,Chennai,147.02629436585815,Express,4,3.1
Delhi,Pune,37.41266028680405,Air,2,1.0
Bangalore,Mumbai,76.36323173490145,Express,4,2.9
Pune,Chennai,52.41791733506088,Express,4,3.9
Chennai,Bangalore,117.46705525428305,Air,1,1.3
Ahmedabad,Hyderabad,85.62191549675127,Express,4,3.1
Kolkata,Mumbai,106.7772651440067,Ocean,6,7.0
Kolkata,Delhi,108.46041370065792,Express,3,2.5
Ahmedabad,Chennai,70.28392054606259,Standard,5,4.9
Mumbai,Chennai,69.67000295727632,Ocean,3,5.5
Pune,Chennai,43.22464155111759,Standard,6,4.0
Jaipur,Bangalore,86.80321487035312,Air,5,1.7
Chennai,Ahmedabad,143.429047969984,Standard,0,3.8
Ahmedabad,Chennai,0.9735933628149098,Express,0,1.9
Pune,Delhi,71.78809851351366,Express,2,2.8
Bangalore,Pune,79.32031403555013,Express,4,3.7
Ahmedabad,Bangalore,32.000392098146875,Ocean,6,5.3
Bangalore,Chennai,30.497327101862304,Ocean,6,4.4
Kolkata,Jaipur,140.59510875458983,Air,0,1.4
Mumbai,Kolkata,105.1551237794296,Standard,6,4.1
Chennai,Pune,46.26753246149919,Express,5,3.0
Delhi,Chennai,78.6252016008434,Standard,0,4.9
Hyderabad,Delhi,11.398824387501575,Express,6,2.0
Delhi,Ahmedabad,60.49525062084697,Standard,5,4.8
Mumbai,Surat,33.28145730761942,Standard,2,2.8
Kolkata,Bangalore,97.348708175584,Standard,0,4.6
Surat,Chennai,93.90518748701567,Standard,1,4.1
Delhi,Kolkata,45.82751188942638,Standard,5,4.2
Pune,Jaipur,41.075702376783795,Express,5,3.1
Delhi,Bangalore,123.6548244701242,Air,0,1.6
Mumbai,Bangalore,41.78734889422447,Air,6,1.6
Ahmedabad,Delhi,70.3117159945598,Standard,3,3.1
Jaipur,Mumbai,19.924523718087343,Express,1,2.3
Chennai,Kolkata,136.12637332331303,Ocean,2,6.5
Bangalore,Hyderabad,17.84539086155131,Standard,4,4.1
Mumbai,Surat,105.7266351993325,Standard,6,3.5
Kolkata,Mumbai,42.12669153343997,Standard,3,3.8
Jaipur,Surat,16.252055876503043,Air,3,1.0
Jaipur,Bangalore,68.92609097131445,Standard,5,5.0
Bangalore,Surat,8.327075518027124,Air,1,1.0
Delhi,Surat,98.77434558443422,Express,5,4.0
Mumbai,Kolkata,101.8330734463516,Express,1,3.1
Chennai,Delhi,110.69593428959166,Ocean,3,7.0
